config,prompt,temperature,generated_text
quality,Vaka vanha Väinämöinen,0.8,"Vaka vanha Väinämöinen, kylitse noita kuohumitseviperähän iäkseni. Niin sanovi Lemminkäinen, Kalevatar, kaunis impi, hänpä neittä neuvomahan, orpoa opastamahan, miten olla mielevänä, kuten kuuluna asua, mielevänä miehelässä, kuuluna anoppelassa. Saneli sanoilla noilla, lausui noilla lausehilla. Eiojen panisin paikalta sekä luisenä, Tuome on lautennalta?"" Takoihe siitä loitsimahan, lainetta lakaisemahan. Aukaise aikoa vähäisen, pirahteli pikkaraisen. Jopa päivyt joippoi päivän, karhu"
quality,Vaka vanha Väinämöinen,1.0,"Vaka vanha Väinämöinen, ongelivat miehen viieltä vitsui, väännältä paukui, härän sarvissa. Sanoi Pohjolan sokea rukoelevi, Väinämöinen: ""Oi päivyt, Jumalan luoma, luoma Luojan valkeamme! Kylötti, syöpeä anelemahan pimeästä Pohjolasta, summasta Sariolasta, vieressäsi! Jo nyt Ahti poika, sinnepäsi, liukonsa kohot kiviä, pane virattomahan, korven kolkan kainalohon, taivon kannen alla löyt sitä taloilla, veikon kovin hyvä minulle! Mie tuo olutta, mettä vuotui ikihytteli hope lähteätä"
quality,Vaka vanha Väinämöinen,1.3,"Vaka vanha Väinämöinen: vesiä Ahistä laian, ahoa arkku orren päästä venyi, veteläksensa toitahat, kukkaksensa, sa'an maajipset. Läksi kohta kolmis saattavi sanoa, toisen, ylitse kyselemähän. Laski virkkua vitsalla, helähytti helmisvyöllä; tehtänehe, huoli armahaniani."" Sanoi äiti Lemminkäisen, itse lausui ja pakisi: ""Mi sintllensa, menkö Pohjolan pitoihin, Sariolan juominkihin! Tuhtiakö on paremmattelin, haukkuilla kattilan kanervan. Siitä Pohjolan emäntä syöttämynynnä, lieto Lemminkäinen lapsen pääs"
quality,Mieleni minun tekevi,0.4,"Mieleni minun tekevi, jalkoihin jaloihin, kalmahan. Kivi tulisen jousen olalle, pisti kaljahansa, herskuttavi: ""Mitä itket, neitoseni, kun olet saavalleni, kun jo on oottane olutta, parempata juotavata, pellavaskannon kauneutta. ""yttä, lauttoa tajutta virkin, etelä e'et, eränet sysi, syksy-yötinen, vat piehisin, vöiske'inget kynnin maata kera vanhan Väinämöisen. Japi nytyä Väinämöinen, toinen tait"
quality,Mieleni minun tekevi,0.8,"Mieleni minun tekevi, varsi viittä sormukset sompaisissa, kultaisen kolura kultainen käessä, hope'inen sijissä, kalvoksissa, kultaissä taputtamat. Läksi tietämähän, käyksäskyn tulevat: ""Sieltä purrellensa, purrelta vieretelläksesi! ""Mi sinussa kiista, kuhkasi miehelle hyvä hevonen, untasi! Muiselta talo hyvän isoni, pahan sanoman ve'en väkeä, ei veäite ruo'elle ruvet suuremmet suuremmet suuremmille, et pahoin pitojaksi,"
quality,Mieleni minun tekevi,1.0,"Mieleni minun tekevi, varsi viittä ikuiseksi. Se on seppo Ilmarinen, takoja iän-ikuinen, Ukkoaika pikkarainen, lintujallensa, rahan-karvallista. Sanan virkkoi, noin nimesi: ""Mene en, jo, kuhu, kurja, kunnotoin, kuulisin, latelit tuuitelko varoja kaiken armon omilla eloilla, kun etän kävellyt, keikuin kaarin laitan päähän. Mkeroi joukon joutsenia: ei ilo sinä ikänä, kun en mä tieä teki, poloinen, läpi kypärin, läpi noian nuolihin kuole'istä, läpi Tuonen"
quality,Mieleni minun tekevi,1.3,"Mieleni minun tekevi, sormukset päällensä. Seppo tuon sanoiksi virkki: ""Oi on seppo Ilmarinen, takoja alinomainen,uhun! Ei itse loihe leven vaipan pesohon; mietti kirvehen terävän, hiiloksesta; vainoti vettä lähtivi, emo pojalle lähtihen sirkota, luota lappealla, lopian surman: elköhönp' onjalta sorsa, sortavi sutosen suitsijaksi, metsän uuhen untuvalle. ""Syne toki tuho poikoa pätöistä, kultunnytäksi miehen kohonnassa, majahan metsä"
quality,Pohjan neito,0.4,"Pohjan neito vastahansa, puihin. Sanoi vanha uunin päältä: ""Ohrasta humalastauksella!"" Seisellä viipyi, kaikki kuulemahan, iloa imehtimähän. Tapiolan tarkka ukko, itse Metsolan isäntä, ja kaikki Tapion talojen halliparta! Nuoret sekä vaimotukoita, jotta joutui! ""Ei ole teissä puolta miestä, ei urosta Ukon pojassa, senpä leikkaeli, verevä, verevä vierettäissä, suurimmät povessa, käsi käski, käsi käski, käsi ylenevä silmiltänsä, kakkaransa päälauat lainehille, kujat"
quality,Pohjan neito,0.8,"Pohjan neito vastahansa, puihin. Sanoi tuolta tultuansa: ""Käyinen, mitä miekkoja, pistä päätäsi hopea kultaisen, suonen lumisen! ""Sitte siitä leivät leppurihin, suuret talkkunat taputtimet, laitettihin laitettihin ja manteria, kaunihiksi muuttelihe, jos sata mies vähäväkinen."" Sanoi äiti Lemminkäisen: ""Mit' olet pahoilla mielin, kaiken kallellaisin omille maille, nenin melke'in elellä, sijalle sisaruesi. Enpä tieäkänä, miten olla, kuin eleä näillä ennen ehompi kulki äit"
quality,Pohjan neito,1.0,"Pohjan neitovihin, hiekat kesellä. Sanoi vanha Väinämöinen: ""On muisti suuren orren: 'Mitä tuostaki tulevi, kovin haua, hanki tulisi Kavon kaunihin käsissä, hyvän immen hyppysissä, jos kannan Kavon kätehen, hyvän immen hyppysihin?' ""Kantoipa Kavon kätehen, hyvän immen hyppysihin. Kapo kaksin kämmeninsä, hykerti käsin molevi talojen: siit' otti nuol kolmea lintuansa surulla päätä, siitä läksi villat suuret, katkoi karvat karvattelihe pitkän pintapöyän, pitäjä, vihat täällä päälle korkeuinen, l"
quality,Pohjan neito,1.3,"Pohjan neitotoavi. Sanoi vanha: ""onsa keralla, hope'ita lähenki, kulkkinen suota, saoin päitä seipähissä; kiellyt, hiemmin laitehelle, taikin lattialle kaplauat, kesken katmusta!"" Kullervo, Kalervon poika, sanan virkkoi, noin nimesi: ""Mik' on et sanone tuota, kun en varsin jouakana suuhun, tulikulkku kukat por Metsolahan, tarkkahan Tapiolahan. Nokki kuuksi päiväksi taivahalle, hännän kättä antelohon: jopa mullan kaunihin kanasen, kivet marjan varret, yhen purmäiset suor"
